iter	MultiClass
0	1.012006182
1	0.9475508609
2	0.8920198926
3	0.845329789
4	0.8064163889
5	0.7730199471
6	0.7442133023
7	0.7191021228
8	0.6973335866
9	0.6776610014
10	0.6607366255
11	0.6434324597
12	0.6301209871
13	0.6162433739
14	0.6052615091
15	0.5942805401
16	0.5845869022
17	0.5763433125
18	0.5685357365
19	0.5613738555
20	0.5540627094
21	0.5471149509
22	0.5410703716
23	0.5357511071
24	0.5320541345
25	0.527128261
26	0.5221782393
27	0.5177017702
28	0.5141510964
29	0.510294377
30	0.5067664343
31	0.503702695
32	0.5008363939
33	0.4983968207
34	0.4958687811
35	0.4940080902
36	0.4919428989
37	0.489805414
38	0.4881312747
39	0.4853679015
40	0.4831414413
41	0.4816193419
42	0.4803073436
43	0.4783942063
44	0.477121056
45	0.4759567774
46	0.4747838897
47	0.4729889818
48	0.4709849869
49	0.4693363308
50	0.4677720305
51	0.4667088974
52	0.4652056522
53	0.4643716199
54	0.4629356799
55	0.4620735034
56	0.4607894358
57	0.4600164299
58	0.4587588605
59	0.4579999224
60	0.4569831679
61	0.4560884355
62	0.4549262
63	0.4541733494
64	0.453548721
65	0.4521862675
66	0.450962595
67	0.4500162085
68	0.4492215287
69	0.4483761421
70	0.44760855
71	0.4467543927
72	0.4462816892
73	0.4456379262
74	0.4446209443
75	0.4438482659
76	0.4430284404
77	0.4423620356
78	0.4417618471
79	0.4411094267
80	0.4402511613
81	0.4392868402
82	0.4380660528
83	0.437715693
84	0.4369193601
85	0.4366104192
86	0.4359310352
87	0.4343191339
88	0.4337154373
89	0.4323164614
90	0.4315740777
91	0.4302645396
92	0.4294605989
93	0.4283066974
94	0.4274334299
95	0.4267491054
96	0.4262872727
97	0.4257865225
98	0.425022661
99	0.4243736681
100	0.4238503637
101	0.4233361701
102	0.4229042368
103	0.4224925276
104	0.4221563275
105	0.4216848701
106	0.4212867146
107	0.4205940128
108	0.420043757
109	0.4196940357
110	0.4190535978
111	0.4187077659
112	0.4183467131
113	0.4178634322
114	0.417638781
115	0.4166705508
116	0.4162923937
117	0.4158821998
118	0.4152879421
119	0.4149054195
120	0.4139428189
121	0.4131408256
122	0.4124268629
123	0.4118797979
124	0.4115598355
125	0.411178436
126	0.4104313362
127	0.4098580895
128	0.409545526
129	0.4089820008
130	0.4085087067
131	0.4082346426
132	0.407868242
133	0.4073807785
134	0.407050844
135	0.4065580062
136	0.4062910328
137	0.40595767
138	0.4052781138
139	0.4047970147
140	0.4045648108
141	0.4044215669
142	0.4039096524
143	0.4036463206
144	0.4033568275
145	0.4027386372
146	0.4025292433
147	0.4023046329
148	0.4019308307
149	0.4017146672
150	0.4011711505
151	0.4009615347
152	0.4007683561
153	0.4005353474
154	0.4002861697
155	0.3998191786
156	0.3993996129
157	0.3987472154
158	0.3981650932
159	0.3976673299
160	0.3973618718
161	0.3970792109
162	0.3964250792
163	0.3959129774
164	0.3955184866
165	0.3950532722
166	0.394786746
167	0.3943569377
168	0.3940330686
169	0.3935780986
170	0.3932499115
171	0.3927566932
172	0.3924214924
173	0.3919965686
174	0.3916518735
175	0.3913610711
176	0.3908907683
177	0.3903492589
178	0.390192958
179	0.3898262733
180	0.3896134749
181	0.3892767114
182	0.389029551
183	0.3883729437
184	0.3880981363
185	0.3877427732
186	0.3874549966
187	0.3869011445
188	0.3865676283
189	0.3861452789
190	0.3858141089
191	0.3855400018
192	0.3852252237
193	0.3848220672
194	0.3844620538
195	0.3841946989
196	0.3838272693
197	0.3835753702
198	0.3831177374
199	0.3829186035
200	0.3826891755
201	0.3824894948
202	0.3822489513
203	0.3820721282
204	0.3818007831
205	0.3815940972
206	0.3814812721
207	0.3812617048
208	0.3809348749
209	0.3803596938
210	0.3802144715
211	0.3800258362
212	0.3794604222
213	0.379050318
214	0.3787426926
215	0.3785599419
216	0.3782927719
217	0.3777412848
218	0.3774896365
219	0.3773058002
220	0.3768791363
221	0.3765798268
222	0.3761142649
223	0.3756916298
224	0.3756036242
225	0.3754291881
226	0.3751858983
227	0.3750108403
228	0.3746207175
229	0.3744428214
230	0.3742565757
231	0.3740572759
232	0.3739086712
233	0.3734824529
234	0.3732595193
235	0.3729985165
236	0.3728292755
237	0.3725147448
238	0.3721718924
239	0.3719764408
240	0.3718044131
241	0.371509547
242	0.371231604
243	0.3709043492
244	0.3706836877
245	0.3703832964
246	0.3701904161
247	0.3699829907
248	0.3697695317
249	0.3694383873
250	0.3692495687
251	0.3690200401
252	0.3687833301
253	0.3685009471
254	0.3682298432
255	0.3678133366
256	0.3675407704
257	0.3672627543
258	0.3671045812
259	0.3669334466
260	0.3668420663
261	0.3666630909
262	0.3665229041
263	0.3661810568
264	0.3657671224
265	0.365570595
266	0.3652885758
267	0.364842675
268	0.3645221279
269	0.3643928966
270	0.3640670017
271	0.3638236514
272	0.3636416861
273	0.3633937678
274	0.3631503485
275	0.3629290786
276	0.3627731717
277	0.3626833796
278	0.3624542173
279	0.362252458
280	0.362100352
281	0.3619241366
282	0.3616263904
283	0.3614476785
284	0.3611538056
285	0.3609556453
286	0.3608218343
287	0.3604542257
288	0.3603107402
289	0.3601530397
290	0.3598987084
291	0.3598102172
292	0.359607863
293	0.359427125
294	0.3591345589
295	0.3589919847
296	0.3587901044
297	0.358573085
298	0.3583958785
299	0.3580078571
