iter	Passed	Remaining
0	70	21116
1	136	20354
2	203	20132
3	270	19997
4	336	19831
5	402	19722
6	469	19657
7	542	19790
8	625	20218
9	704	20430
10	786	20671
11	858	20614
12	934	20625
13	1001	20459
14	1065	20248
15	1135	20156
16	1199	19960
17	1263	19793
18	1329	19661
19	1394	19521
20	1466	19478
21	1547	19554
22	1626	19589
23	1705	19618
24	1772	19493
25	1839	19382
26	1901	19221
27	1966	19099
28	2026	18934
29	2090	18816
30	2157	18721
31	2220	18592
32	2288	18512
33	2356	18432
34	2432	18421
35	2522	18494
36	2599	18480
37	2689	18541
38	2760	18472
39	2837	18446
40	2912	18401
41	2984	18334
42	3052	18246
43	3129	18209
44	3201	18139
45	3270	18056
46	3348	18024
47	3423	17972
48	3503	17944
49	3576	17881
50	3651	17828
51	3739	17832
52	3853	17957
53	3941	17955
54	4039	17994
55	4113	17922
56	4190	17866
57	4282	17866
58	4375	17873
59	4458	17832
60	4544	17807
61	4640	17812
62	4729	17790
63	4839	17845
64	4939	17857
65	5683	20152
66	5991	20835
67	6158	21011
68	6531	21867
69	6612	21727
70	6695	21595
71	6783	21481
72	6875	21381
73	6961	21260
74	7061	21183
75	7172	21141
76	7319	21198
77	7423	21127
78	7512	21016
79	7596	20890
80	7677	20756
81	7769	20654
82	7880	20602
83	7976	20512
84	8076	20428
85	8178	20350
86	8277	20265
87	8385	20202
88	8491	20132
89	8595	20056
90	8719	20025
91	8826	19954
92	8923	19862
93	9015	19757
94	9106	19650
95	9209	19570
96	9303	19470
97	9400	19376
98	9490	19268
99	9574	19149
100	9675	19063
101	9818	19058
102	10039	19201
103	10275	19365
104	10490	19482
105	10600	19400
106	10724	19344
107	10835	19263
108	10948	19184
109	11051	19089
110	11172	19022
111	11274	18925
112	11374	18823
113	11534	18818
114	11660	18757
115	11808	18731
116	11906	18623
117	11992	18496
118	12091	18391
119	12191	18287
120	12302	18198
121	12404	18097
122	12496	17982
123	12612	17901
124	12702	17783
125	12791	17664
126	12878	17543
127	12973	17432
128	13079	17338
129	13179	17234
130	13286	17140
131	13381	17031
132	13482	16929
133	13582	16826
134	13685	16726
135	13796	16637
136	13898	16536
137	13993	16427
138	14100	16332
139	14211	16242
140	14291	16115
141	14384	16005
142	14485	15903
143	14576	15791
144	14677	15689
145	14756	15565
146	14834	15440
147	14940	15344
148	15050	15252
149	15144	15144
150	15254	15052
151	15362	14958
152	15468	14861
153	15563	14755
154	15652	14642
155	15745	14533
156	15844	14431
157	15947	14332
158	16042	14226
159	16123	14108
160	16207	13993
161	16313	13896
162	16415	13796
163	16517	13697
164	16623	13601
165	16726	13502
166	16823	13398
167	16935	13306
168	17037	13206
169	17128	13098
170	17226	12995
171	17327	12894
172	17427	12793
173	17514	12683
174	17609	12578
175	17701	12471
176	17783	12358
177	17863	12243
178	17951	12135
179	18040	12027
180	18130	11919
181	18224	11816
182	18314	11708
183	18409	11605
184	18495	11497
185	18584	11390
186	18672	11283
187	18759	11175
188	18848	11069
189	18939	10964
190	19033	10861
191	19135	10763
192	19253	10674
193	19350	10573
194	19444	10469
195	19541	10369
196	19632	10264
197	19738	10168
198	19826	10062
199	19915	9957
200	20009	9855
201	20121	9762
202	20219	9661
203	20303	9554
204	20382	9445
205	20482	9346
206	20581	9246
207	20684	9148
208	20784	9049
209	20890	8953
210	20992	8854
211	21088	8753
212	21182	8652
213	21262	8544
214	21359	8444
215	21461	8346
216	21570	8250
217	21659	8147
218	21745	8042
219	21857	7948
220	21964	7851
221	22077	7757
222	22182	7659
223	22287	7561
224	22385	7461
225	22481	7361
226	22566	7257
227	22683	7163
228	22795	7067
229	22892	6967
230	22985	6865
231	23066	6760
232	23145	6655
233	23255	6559
234	23355	6459
235	23472	6365
236	23571	6265
237	23675	6167
238	23783	6070
239	23884	5971
240	23959	5865
241	24061	5766
242	24154	5665
243	24249	5565
244	24362	5469
245	24442	5365
246	24522	5261
247	24623	5163
248	24728	5064
249	24891	4978
250	25064	4892
251	25252	4809
252	25375	4714
253	25479	4614
254	25609	4519
255	25744	4424
256	25903	4334
257	26066	4243
258	26180	4144
259	26297	4045
260	26407	3945
261	26524	3846
262	26624	3745
263	26718	3643
264	26822	3542
265	26934	3442
266	27035	3341
267	27144	3241
268	27248	3140
269	27352	3039
270	27448	2937
271	27532	2834
272	27630	2732
273	27723	2630
274	27828	2529
275	27937	2429
276	28029	2327
277	28117	2225
278	28213	2123
279	28315	2022
280	28411	1921
281	28521	1820
282	28619	1719
283	28719	1618
284	28822	1516
285	28923	1415
286	29003	1313
287	29082	1211
288	29150	1109
289	29230	1007
290	29313	906
291	29391	805
292	29473	704
293	29565	603
294	29660	502
295	29758	402
296	29863	301
297	29944	200
298	30044	100
299	30151	0
